,Tweet,Sarcasm (yes/no)
0,I genuinely love musicians.,no
1,I find vegetarians to be wonderful.,no
2,Because artists really make everything better.,yes
3,Can't wait for more of the game.,yes
4,"Oh great, another artists. Just what I needed.",yes
5,"this movie are so wonderful, said no one ever.",yes
6,"Oh great, another my new phone. Just what I needed.",yes
7,Nothing better than a the meal moment.,yes
8,"Oh great, another writers. Just what I needed.",yes
9,I am always excited for the workshop.,no
10,Nothing better than a the concert moment.,yes
11,Had a great time with the conference.,no
12,Nothing better than a the game moment.,yes
13,this movie are truly inspiring.,no
14,Nothing better than a writers moment.,yes
15,"Everyone loves the concert, right?",yes
16,"Oh great, another athletes. Just what I needed.",yes
17,I find this book to be wonderful.,no
18,Nothing better than a the meal moment.,yes
19,the workshop are genuinely amazing.,no
20,I just love when this book happens.,yes
21,writers are genuinely amazing.,no
22,I find the conference to be wonderful.,no
23,the meal have always been great.,no
24,I find artists to be wonderful.,no
25,vegetarians are genuinely amazing.,no
26,my new phone are truly inspiring.,no
27,Can't wait for more of the concert.,no
28,Can't wait for more of this movie.,yes
29,"this book are so wonderful, said no one ever.",yes
30,"the conference are so wonderful, said no one ever.",yes
31,I just love when doctors happens.,yes
32,the concert are genuinely amazing.,no
33,Can't wait for more of the concert.,yes
34,athletes are truly inspiring.,no
35,I am always excited for this movie.,no
36,"the concert are so wonderful, said no one ever.",yes
37,"Had a this book, best experience ever. Not.",yes
38,musicians have always been great.,no
39,"vegetarians are so wonderful, said no one ever.",yes
40,I am always excited for the concert.,no
41,Can't wait for more of musicians.,yes
42,"the game are so wonderful, said no one ever.",yes
43,Can't wait for more of this movie.,yes
44,Nothing better than a vegetarians moment.,yes
45,Because the meal really make everything better.,yes
46,Can't wait for more of artists.,no
47,"Had a the workshop, best experience ever. Not.",yes
48,"Had a musicians, best experience ever. Not.",yes
49,I just love when the game happens.,yes
50,Nothing better than a my new phone moment.,yes
51,"Had a my new phone, best experience ever. Not.",yes
52,Had a great time with the meal.,no
53,I just love when artists happens.,yes
54,"Oh great, another artists. Just what I needed.",yes
55,Can't wait for more of this book.,yes
56,"Oh great, another musicians. Just what I needed.",yes
57,I find musicians to be wonderful.,no
58,"Everyone loves doctors, right?",yes
59,artists are genuinely amazing.,no
60,"artists are so wonderful, said no one ever.",yes
61,doctors have always been great.,no
62,"Oh great, another musicians. Just what I needed.",yes
63,Had a great time with doctors.,no
64,Because the concert really make everything better.,yes
65,I find musicians to be wonderful.,no
66,"Oh great, another writers. Just what I needed.",yes
67,athletes are genuinely amazing.,no
68,musicians are genuinely amazing.,no
69,I just love when my new phone happens.,yes
70,I just love when this book happens.,yes
71,doctors are truly inspiring.,no
72,the concert are genuinely amazing.,no
73,"the workshop are so wonderful, said no one ever.",yes
74,Can't wait for more of the conference.,yes
75,Can't wait for more of musicians.,yes
76,I find this book to be wonderful.,no
77,I just love when this book happens.,yes
78,"the conference are so wonderful, said no one ever.",yes
79,"Everyone loves the game, right?",yes
80,I find engineers to be wonderful.,no
81,I am always excited for vegetarians.,no
82,the workshop are truly inspiring.,no
83,I am always excited for musicians.,no
84,the concert have always been great.,no
85,Because vegetarians really make everything better.,yes
86,I am always excited for engineers.,no
87,Because this movie really make everything better.,yes
88,Had a great time with athletes.,no
89,Can't wait for more of engineers.,no
90,the concert have always been great.,no
91,Can't wait for more of the workshop.,no
92,Because musicians really make everything better.,yes
93,"Oh great, another the meal. Just what I needed.",yes
94,vegetarians are truly inspiring.,no
95,Nothing better than a doctors moment.,yes
96,"scientists are so wonderful, said no one ever.",yes
97,"Oh great, another athletes. Just what I needed.",yes
98,Because vegetarians really make everything better.,yes
99,athletes have always been great.,no
100,Because the conference really make everything better.,yes
101,I just love when writers happens.,yes
102,Can't wait for more of engineers.,no
103,Had a great time with this movie.,no
104,Because the conference really make everything better.,yes
105,the meal are genuinely amazing.,no
106,I am always excited for this movie.,no
107,"Had a the workshop, best experience ever. Not.",yes
108,"Had a the conference, best experience ever. Not.",yes
109,Had a great time with the workshop.,no
110,Can't wait for more of vegetarians.,yes
111,Because vegetarians really make everything better.,yes
112,"Everyone loves engineers, right?",yes
113,"Had a musicians, best experience ever. Not.",yes
114,Can't wait for more of engineers.,no
115,this movie have always been great.,no
116,Nothing better than a the meal moment.,yes
117,Can't wait for more of this book.,no
118,I find the meal to be wonderful.,no
119,"Had a this book, best experience ever. Not.",yes
120,Nothing better than a artists moment.,yes
121,Nothing better than a musicians moment.,yes
122,I am always excited for this book.,no
123,Can't wait for more of this book.,no
124,I find writers to be wonderful.,no
125,Nothing better than a the conference moment.,yes
126,"Had a doctors, best experience ever. Not.",yes
127,"the workshop are so wonderful, said no one ever.",yes
128,athletes are genuinely amazing.,no
129,I am always excited for athletes.,no
130,the game are truly inspiring.,no
131,the game are genuinely amazing.,no
132,Because writers really make everything better.,yes
133,I am always excited for musicians.,no
134,Can't wait for more of the concert.,no
135,Nothing better than a the conference moment.,yes
136,"Oh great, another this book. Just what I needed.",yes
137,"Everyone loves doctors, right?",yes
138,Nothing better than a this book moment.,yes
139,I just love when the game happens.,yes
140,I find this book to be wonderful.,no
141,"the game are so wonderful, said no one ever.",yes
142,the meal are truly inspiring.,no
143,Had a great time with vegetarians.,no
144,I genuinely love artists.,no
145,"Oh great, another scientists. Just what I needed.",yes
146,Had a great time with engineers.,no
147,I am always excited for musicians.,no
148,Can't wait for more of the game.,no
149,doctors are truly inspiring.,no
150,the workshop have always been great.,no
151,"Had a my new phone, best experience ever. Not.",yes
152,"vegetarians are so wonderful, said no one ever.",yes
153,Can't wait for more of athletes.,yes
154,"Oh great, another vegetarians. Just what I needed.",yes
155,"Everyone loves the workshop, right?",yes
156,I find the meal to be wonderful.,no
157,Had a great time with the conference.,no
158,I just love when the conference happens.,yes
159,"scientists are so wonderful, said no one ever.",yes
160,this movie are genuinely amazing.,no
161,"Had a my new phone, best experience ever. Not.",yes
162,"Everyone loves the workshop, right?",yes
163,Nothing better than a my new phone moment.,yes
164,vegetarians are genuinely amazing.,no
165,Can't wait for more of the workshop.,yes
166,I find engineers to be wonderful.,no
167,"Oh great, another the game. Just what I needed.",yes
168,the conference are truly inspiring.,no
169,writers are genuinely amazing.,no
170,"Had a the game, best experience ever. Not.",yes
171,writers are genuinely amazing.,no
172,"Had a the conference, best experience ever. Not.",yes
173,artists are truly inspiring.,no
174,I genuinely love doctors.,no
175,scientists have always been great.,no
176,my new phone have always been great.,no
177,"Oh great, another the meal. Just what I needed.",yes
178,the concert have always been great.,no
179,I am always excited for this book.,no
180,Can't wait for more of the meal.,yes
181,"Had a athletes, best experience ever. Not.",yes
182,Can't wait for more of musicians.,no
183,Can't wait for more of writers.,yes
184,"Oh great, another athletes. Just what I needed.",yes
185,"Had a the concert, best experience ever. Not.",yes
186,Because vegetarians really make everything better.,yes
187,I genuinely love the concert.,no
188,Because artists really make everything better.,yes
189,I find this book to be wonderful.,no
190,"Oh great, another athletes. Just what I needed.",yes
191,"Had a athletes, best experience ever. Not.",yes
192,"Everyone loves doctors, right?",yes
193,"Everyone loves the workshop, right?",yes
194,I just love when the meal happens.,yes
195,"this book are so wonderful, said no one ever.",yes
196,Can't wait for more of the workshop.,no
197,"Had a artists, best experience ever. Not.",yes
198,this book are genuinely amazing.,no
199,"Everyone loves the concert, right?",yes
200,Nothing better than a the game moment.,yes
201,"Everyone loves the meal, right?",yes
202,I am always excited for engineers.,no
203,"Oh great, another the game. Just what I needed.",yes
204,"Oh great, another this movie. Just what I needed.",yes
205,"Had a the game, best experience ever. Not.",yes
206,I find athletes to be wonderful.,no
207,Because this book really make everything better.,yes
208,athletes are genuinely amazing.,no
209,Can't wait for more of writers.,yes
210,Can't wait for more of this book.,no
211,I genuinely love musicians.,no
212,"Oh great, another musicians. Just what I needed.",yes
213,Can't wait for more of engineers.,yes
214,I genuinely love engineers.,no
215,Because the concert really make everything better.,yes
216,engineers have always been great.,no
217,"Everyone loves this movie, right?",yes
218,"Had a musicians, best experience ever. Not.",yes
219,Because my new phone really make everything better.,yes
220,Nothing better than a musicians moment.,yes
221,artists are genuinely amazing.,no
222,Had a great time with scientists.,no
223,"doctors are so wonderful, said no one ever.",yes
224,Can't wait for more of doctors.,no
225,"Had a this book, best experience ever. Not.",yes
226,the meal have always been great.,no
227,I just love when artists happens.,yes
228,the workshop are genuinely amazing.,no
229,Because my new phone really make everything better.,yes
230,I just love when my new phone happens.,yes
231,the game are genuinely amazing.,no
232,"musicians are so wonderful, said no one ever.",yes
233,I genuinely love musicians.,no
234,"Everyone loves artists, right?",yes
235,Nothing better than a writers moment.,yes
236,Can't wait for more of scientists.,yes
237,I find scientists to be wonderful.,no
238,Because vegetarians really make everything better.,yes
239,"Had a the concert, best experience ever. Not.",yes
240,I genuinely love the conference.,no
241,I genuinely love my new phone.,no
242,Nothing better than a doctors moment.,yes
243,artists are genuinely amazing.,no
